timestamp,elapsed_s,scan_index,quality,angle_deg,distance_mm
1785215002.731442213,0.020919,0,15,351.265625,3537.250
1785215002.731442213,0.020919,0,9,352.906250,3501.000
1785215002.731442213,0.020919,0,11,356.187500,3738.500
1785215002.731442213,0.020919,0,10,357.828125,3799.500
1785215002.731442213,0.020919,0,15,359.484375,3837.000
1785215002.731442213,0.020919,0,15,1.140625,3874.500
1785215002.731442213,0.020919,0,15,2.765625,3900.250
1785215002.731442213,0.020919,0,15,4.421875,3928.250
1785215002.731442213,0.020919,0,15,6.078125,3982.250
1785215002.731442213,0.020919,0,15,7.718750,4053.500
1785215002.731442213,0.020919,0,15,9.359375,4118.250
1785215002.731442213,0.020919,0,13,10.937500,4177.250
1785215002.731442213,0.020919,0,12,12.593750,4244.000
1785215002.731442213,0.020919,0,8,181.812500,10198.250
1785215002.731442213,0.020919,0,8,185.109375,10279.500
1785215002.731442213,0.020919,0,10,186.750000,10299.250
1785215002.731442213,0.020919,0,15,218.093750,5915.750
1785215002.731442213,0.020919,0,15,221.406250,5438.250
1785215002.731442213,0.020919,0,15,224.703125,5116.500
1785215002.731442213,0.020919,0,15,226.375000,4977.000
1785215002.731442213,0.020919,0,15,229.671875,4697.500
1785215002.731442213,0.020919,0,15,233.078125,3471.000
1785215002.731442213,0.020919,0,15,234.718750,3442.750
1785215002.731442213,0.020919,0,15,239.609375,3910.750
1785215002.731442213,0.020919,0,15,241.265625,3844.250
1785215002.731442213,0.020919,0,15,242.921875,3781.250
1785215002.731442213,0.020919,0,15,244.562500,3721.750
1785215002.731442213,0.020919,0,15,246.234375,3663.750
1785215002.731442213,0.020919,0,15,247.875000,3601.750
1785215002.731442213,0.020919,0,15,249.531250,3542.750
1785215002.731442213,0.020919,0,15,251.187500,3506.000
1785215002.731442213,0.020919,0,15,252.843750,3463.250
1785215002.731442213,0.020919,0,15,256.125000,3558.000
1785215002.731442213,0.020919,0,15,257.781250,3588.000
1785215002.731442213,0.020919,0,15,261.046875,3810.500
1785215002.731442213,0.020919,0,15,262.687500,3802.750
1785215002.731442213,0.020919,0,15,264.328125,3797.250
1785215002.731442213,0.020919,0,15,265.984375,3790.500
1785215002.731442213,0.020919,0,15,267.625000,3789.250
1785215002.731442213,0.020919,0,15,269.281250,3781.000
1785215002.731442213,0.020919,0,15,270.921875,3772.500
1785215002.731442213,0.020919,0,15,272.593750,3782.000
1785215002.731442213,0.020919,0,15,274.218750,3782.250
1785215002.731442213,0.020919,0,15,275.796875,3773.750
1785215002.731442213,0.020919,0,15,277.437500,3784.750
1785215002.731442213,0.020919,0,15,279.078125,3795.000
1785215002.731442213,0.020919,0,15,280.734375,3798.500
1785215002.731442213,0.020919,0,15,282.375000,3805.500
1785215002.731442213,0.020919,0,15,284.000000,3827.750
1785215002.731442213,0.020919,0,15,285.640625,3859.750
1785215002.731442213,0.020919,0,15,287.281250,3892.500
1785215002.731442213,0.020919,0,15,288.937500,3854.250
1785215002.731442213,0.020919,0,15,292.250000,3624.250
1785215002.731442213,0.020919,0,15,295.546875,3332.500
1785215002.731442213,0.020919,0,15,297.187500,3361.250
1785215002.731442213,0.020919,0,15,298.906250,3400.250
1785215002.731442213,0.020919,0,15,300.546875,3458.500
1785215002.731442213,0.020919,0,15,302.203125,3526.000
1785215002.731442213,0.020919,0,15,303.843750,3595.000
1785215002.731442213,0.020919,0,15,305.468750,3667.000
1785215002.731442213,0.020919,0,15,307.109375,3738.000
1785215002.731442213,0.020919,0,15,313.703125,3736.000
1785215002.731442213,0.020919,0,14,315.359375,3674.250
1785215002.731442213,0.020919,0,7,317.015625,3622.500
1785215002.731442213,0.020919,0,15,318.671875,3574.500
1785215002.731442213,0.020919,0,15,320.296875,3539.250
1785215002.731442213,0.020919,0,15,321.968750,3507.000
1785215002.731442213,0.020919,0,15,323.703125,3504.250
1785215002.731442213,0.020919,0,15,325.375000,3500.500
