elapsed_s,planner_state,plan_reason,planned_speed,planned_steering,command_speed,command_steering,command_reason,safety_overrode_command,lidar_scan_timestamp,lidar_is_new_scan,lidar_valid,lidar_unsafe,lidar_observed_points,lidar_reason,car_count,first_car_seen,first_car_confirmed,first_car_turn_reached,first_car_edge_y_back_mm,first_car_turn_error_mm,gap_pair_observed,tracking_roi_expanded,first_car_gate_passed,second_car_gate_armed,ordered_second_car_pairing,gap_found,gap_confirmed,gap_coasted,gap_width_mm,gap_center_x_right_mm,gap_center_y_back_mm,entry_target_y_back_mm,entry_error_mm,entry_reached,slot_depth_x_right,slot_depth_y_back,raw_gap_scan_timestamp,raw_gap_observed_width_mm,raw_gap_first_x_right_mm,raw_gap_first_y_back_mm,raw_gap_second_x_right_mm,raw_gap_second_y_back_mm,geometry_found,geometry_has_side_pair,geometry_has_back_line,geometry_confidence,geometry_coasted,geometry_reason,geometry_lateral_error_px,geometry_lateral_error_norm,geometry_heading_error_deg,geometry_depth_remaining_px,geometry_slot_width_px,geometry_slot_depth_px,completion_candidate,completion_reason,footprint_min_lateral_mm,footprint_max_lateral_mm,footprint_min_depth_mm,footprint_max_depth_mm,pose_required,pose_source,pose_locked,pose_tracked,pose_stale,pose_held,pose_lost,pose_scan_timestamp,pose_translation_mm,pose_rotation_deg,pose_support_points,pose_bilateral_support,pose_depth_span_mm,pose_reason,pose_polygon_mm,map_frozen,map_source_scan_timestamp,map_landmark_count,map_surface_point_count,map_reason,map_icp_fallback_scans,path_status,path_found,path_reason,path_curvature_per_px,path_maximum_curvature_per_px,path_lookahead_x_px,path_lookahead_y_px,path_points_px,lease_valid,lease_expires_at_s,lease_remaining_s,lease_last_fresh_pose_at_s,lease_pose_age_s
46.406506,reacquire_slot,reacquired_slot_path_not_ready:collision_risk:vehicle_footprint_crosses_side_boundary,0,0,0,0,reacquired_slot_path_not_ready:collision_risk:vehicle_footprint_crosses_side_boundary,0,1785209604.8167481,1,1,0,32,gap_confirmed,2,1,1,1,1295.312,-1945.312,1,1,1,1,1,1,1,0,1500.858,1258.997,556.931,-300.0,856.931,0,0.879,0.477,1785209604.8167481,1466.527,1692.881,-109.677,905.154,1136.826,1,1,1,0.95,0,direct_pair,1.437,0.01306,57.709,642.32,220.0,347.368,0,footprint_crosses_slot_entrance,-830.34,335.538,-2213.724,-1172.299,1,DIRECT_PAIR,1,1,0,0,0,1785209604.8167481,0.0,0.0,2,1,0.0,direct_pair,1552.770:112.034|1045.264:915.115|2313.286:1716.440|2820.792:913.359,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,collision_risk,0,vehicle_footprint_crosses_side_boundary,0.0054,0.0054,376.849,523.135,300.000:570.000|300.968:551.085|303.864:532.369|308.656:514.045|315.294:496.307|323.710:479.340|333.814:463.321|345.502:448.418|358.651:434.787|373.123:422.570|388.767:411.895|405.420:402.874|422.908:395.601|441.046:390.152|459.647:386.584|478.514:384.935|497.451:385.222|516.260:387.441|534.744:391.569|552.710:397.565|569.969:405.363,1,46.706506,0.3,46.406506,0.0
46.484571,reacquire_slot,reacquire_waiting_for_unique_lidar_scan,0,0,0,0,reacquire_waiting_for_unique_lidar_scan,0,1785209604.8167481,0,1,0,32,gap_confirmed,2,1,1,1,1295.312,-1945.312,1,1,1,1,1,1,1,0,1500.858,1258.997,556.931,-300.0,856.931,0,0.879,0.477,,,,,,,1,1,1,0.95,0,direct_pair,1.437,0.01306,57.709,642.32,220.0,347.368,0,footprint_crosses_slot_entrance,-830.34,335.538,-2213.724,-1172.299,1,DIRECT_PAIR,1,1,0,0,0,1785209604.8167481,0.0,0.0,2,1,0.0,direct_pair,1552.770:112.034|1045.264:915.115|2313.286:1716.440|2820.792:913.359,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,,0,,,,,,,1,46.706506,0.221935,46.406506,0.078065
46.547861,set_reverse_steer,slot_reacquired:resume_pending:set_reverse_steer,0,0,0,0,slot_reacquired:resume_pending:set_reverse_steer,0,1785209604.9321802,1,1,0,22,gap_confirmed,2,1,1,1,1321.49,-1971.49,1,1,1,1,1,1,1,0,1543.884,1262.738,572.484,-300.0,872.484,0,0.87,0.494,1785209604.9321802,1623.789,1685.906,-96.314,853.464,1299.052,1,1,1,0.95,0,direct_pair,-28.619,-0.260176,59.181,646.823,220.0,347.368,0,footprint_crosses_slot_entrance,-964.313,201.874,-2219.692,-1192.087,1,DIRECT_PAIR,1,1,0,0,0,1785209604.9321802,0.0,0.0,2,1,0.0,direct_pair,1513.043:193.445|1026.327:1009.293|2314.508:1777.792|2801.224:961.944,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,ready,1,local_target_curvature_limited,0.0054,0.0054,362.628,499.312,300.000:570.000|300.486:556.586|301.943:543.242|304.363:530.038|307.733:517.045|312.035:504.329|317.247:491.959|323.341:479.999|330.286:468.512|338.045:457.558|346.576:447.195|355.836:437.477|365.776:428.455|376.343:420.177|387.482:412.686|399.134:406.022|411.238:400.220|423.731:395.309|436.547:391.316|449.618:388.262|462.876:386.164,1,46.847861,0.3,46.547861,0.0
46.625035,set_reverse_steer,reverse_entry_max_right:settling,0,150,0,150,reverse_entry_max_right:settling,0,1785209604.9321802,0,1,0,22,gap_confirmed,2,1,1,1,1321.49,-1971.49,1,1,1,1,1,1,1,0,1543.884,1262.738,572.484,-300.0,872.484,0,0.87,0.494,,,,,,,1,1,1,0.95,0,direct_pair,-28.619,-0.260176,59.181,646.823,220.0,347.368,0,footprint_crosses_slot_entrance,-964.313,201.874,-2219.692,-1192.087,1,DIRECT_PAIR,1,1,0,0,0,1785209604.9321802,0.0,0.0,2,1,0.0,direct_pair,1513.043:193.445|1026.327:1009.293|2314.508:1777.792|2801.224:961.944,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,ready,1,local_target_curvature_limited,0.0054,0.0054,362.628,499.312,300.000:570.000|300.486:556.586|301.943:543.242|304.363:530.038|307.733:517.045|312.035:504.329|317.247:491.959|323.341:479.999|330.286:468.512|338.045:457.558|346.576:447.195|355.836:437.477|365.776:428.455|376.343:420.177|387.482:412.686|399.134:406.022|411.238:400.220|423.731:395.309|436.547:391.316|449.618:388.262|462.876:386.164,1,46.847861,0.222826,46.547861,0.077174
46.703398,reacquire_slot,reverse_steer_set_path_lost:collision_risk:vehicle_footprint_crosses_side_boundary,0,0,0,0,reverse_steer_set_path_lost:collision_risk:vehicle_footprint_crosses_side_boundary,0,1785209605.0443487,1,1,0,29,gap_confirmed,2,1,1,1,1318.931,-1968.931,1,1,1,1,1,1,1,0,1573.689,1253.904,569.816,-300.0,869.816,0,0.865,0.503,1785209605.0443487,1629.041,1688.817,-113.632,786.181,1243.353,1,1,1,0.95,0,direct_pair,-8.041,-0.073102,56.369,636.905,220.0,347.368,0,footprint_crosses_slot_entrance,-866.974,297.953,-2202.224,-1148.81,1,DIRECT_PAIR,1,1,0,0,0,1785209605.0443487,0.0,0.0,2,1,0.0,direct_pair,1500.574:169.365|974.424:960.356|2223.358:1791.118|2749.507:1000.127,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,collision_risk,0,vehicle_footprint_crosses_side_boundary,0.0054,0.0054,370.482,513.459,300.000:570.000|300.741:553.453|302.957:537.039|306.631:520.888|311.733:505.131|318.223:489.892|326.049:475.294|335.148:461.453|345.447:448.481|356.864:436.482|369.307:425.550|382.678:415.774|396.868:407.231|411.765:399.991|427.249:394.111|443.197:389.638|459.481:386.607|475.970:385.044|492.533:384.961|509.038:386.357|525.351:389.223,1,47.003398,0.3,46.703398,0.0
46.783361,reacquire_slot,reacquired_slot_path_not_ready:collision_risk:vehicle_footprint_crosses_side_boundary,0,0,0,0,reacquired_slot_path_not_ready:collision_risk:vehicle_footprint_crosses_side_boundary,0,1785209605.1553037,1,1,0,25,gap_confirmed,2,1,1,1,1295.203,-1945.203,1,1,1,1,1,1,1,0,1538.26,1275.272,553.515,-300.0,853.515,0,0.874,0.486,1785209605.1553037,1472.464,1693.035,-111.779,936.872,1158.262,1,1,1,0.95,0,direct_pair,-8.027,-0.072971,59.231,646.549,220.0,347.368,0,footprint_crosses_slot_entrance,-875.524,290.659,-2218.041,-1190.922,1,DIRECT_PAIR,1,1,0,0,0,1785209605.1553037,0.0,0.0,2,1,0.0,direct_pair,1557.952:115.104|1071.955:931.380|2360.811:1698.744|2846.809:882.468,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,collision_risk,0,vehicle_footprint_crosses_side_boundary,0.0054,0.0054,373.225,517.061,300.000:570.000|300.826:552.529|303.296:535.214|307.389:518.210|313.068:501.667|320.283:485.734|328.968:470.553|339.047:456.258|350.429:442.979|363.014:430.832|376.688:419.927|391.330:410.360|406.810:402.218|422.988:395.572|439.722:390.482|456.860:386.994|474.252:385.138|491.741:384.931|509.172:386.375|526.388:389.457|543.237:394.149,1,47.083361,0.3,46.783361,0.0
46.860728,set_reverse_steer,slot_reacquired:resume_pending:set_reverse_steer,0,0,0,0,slot_reacquired:resume_pending:set_reverse_steer,0,1785209605.2688482,1,1,0,24,gap_confirmed,2,1,1,1,1321.525,-1971.525,1,1,1,1,1,1,1,0,1570.978,1274.721,569.624,-300.0,869.624,0,0.866,0.5,1785209605.2688482,1631.74,1694.567,-99.891,852.83,1298.973,1,1,1,0.95,0,direct_pair,-26.414,-0.24013,58.963,647.507,220.0,347.368,0,footprint_crosses_slot_entrance,-954.208,211.981,-2224.663,-1194.975,1,DIRECT_PAIR,1,1,0,0,0,1785209605.2688482,0.0,0.0,2,1,0.0,direct_pair,1518.601:192.543|1028.796:1006.539|2314.053:1779.917|2803.859:965.920,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,ready,1,local_target_curvature_limited,0.0054,0.0054,363.497,500.965,300.000:570.000|300.512:556.242|302.044:542.560|304.589:529.029|308.132:515.725|312.654:502.721|318.129:490.089|324.528:477.898|331.814:466.217|339.949:455.109|348.886:444.636|358.577:434.856|368.967:425.824|380.000:417.588|391.614:410.194|403.745:403.684|416.326:398.093|429.288:393.452|442.559:389.787|456.066:387.119|469.734:385.461,1,47.160728,0.3,46.860728,0.0
46.939448,set_reverse_steer,reverse_entry_max_right:settling,0,150,0,150,reverse_entry_max_right:settling,0,1785209605.2688482,0,1,0,24,gap_confirmed,2,1,1,1,1321.525,-1971.525,1,1,1,1,1,1,1,0,1570.978,1274.721,569.624,-300.0,869.624,0,0.866,0.5,,,,,,,1,1,1,0.95,0,direct_pair,-26.414,-0.24013,58.963,647.507,220.0,347.368,0,footprint_crosses_slot_entrance,-954.208,211.981,-2224.663,-1194.975,1,DIRECT_PAIR,1,1,0,0,0,1785209605.2688482,0.0,0.0,2,1,0.0,direct_pair,1518.601:192.543|1028.796:1006.539|2314.053:1779.917|2803.859:965.920,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,ready,1,local_target_curvature_limited,0.0054,0.0054,363.497,500.965,300.000:570.000|300.512:556.242|302.044:542.560|304.589:529.029|308.132:515.725|312.654:502.721|318.129:490.089|324.528:477.898|331.814:466.217|339.949:455.109|348.886:444.636|358.577:434.856|368.967:425.824|380.000:417.588|391.614:410.194|403.745:403.684|416.326:398.093|429.288:393.452|442.559:389.787|456.066:387.119|469.734:385.461,1,47.160728,0.22128,46.860728,0.07872
47.017442,reacquire_slot,reverse_steer_set_path_lost:collision_risk:vehicle_footprint_crosses_side_boundary,0,0,0,0,reverse_steer_set_path_lost:collision_risk:vehicle_footprint_crosses_side_boundary,0,1785209605.3816695,1,1,0,28,gap_confirmed,2,1,1,1,1318.767,-1968.767,1,1,1,1,1,1,1,0,1591.856,1261.173,567.484,-300.0,867.484,0,0.862,0.507,1785209605.3816695,1630.63,1687.065,-116.141,784.96,1243.158,1,1,1,0.95,0,direct_pair,-8.34,-0.075818,56.43,636.437,220.0,347.368,0,footprint_crosses_slot_entrance,-868.467,296.516,-2199.673,-1146.787,1,DIRECT_PAIR,1,1,0,0,0,1785209605.3816695,0.0,0.0,2,1,0.0,direct_pair,1498.669:167.736|973.356:959.282|2223.165:1788.725|2748.479:997.178,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,collision_risk,0,vehicle_footprint_crosses_side_boundary,0.0054,0.0054,370.377,513.284,300.000:570.000|300.737:553.495|302.942:537.120|306.598:521.008|311.675:505.286|318.134:490.078|325.922:475.507|334.978:461.688|345.230:448.732|356.595:436.740|368.984:425.809|382.299:416.026|396.432:407.469|411.271:400.205|426.699:394.293|442.592:389.780|458.825:386.701|475.267:385.081|491.788:384.933|508.257:386.258|524.542:389.045,1,47.317442,0.3,47.017442,0.0
47.096053,reacquire_slot,reacquired_slot_path_not_ready:collision_risk:vehicle_footprint_crosses_side_boundary,0,0,0,0,reacquired_slot_path_not_ready:collision_risk:vehicle_footprint_crosses_side_boundary,0,1785209605.4962473,1,1,0,32,gap_confirmed,2,1,1,1,1303.5,-1953.5,1,1,1,1,1,1,1,0,1538.238,1265.358,547.366,-300.0,847.366,0,0.866,0.5,1785209605.4962473,1438.661,1704.345,-74.123,841.916,1094.131,1,1,1,0.95,0,direct_pair,24.192,0.219928,53.564,635.974,220.0,347.368,0,footprint_crosses_slot_entrance,-717.33,443.546,-2221.834,-1145.201,1,DIRECT_PAIR,1,1,0,0,0,1785209605.4962473,0.0,0.0,2,1,0.0,direct_pair,1555.242:127.854|991.020:892.154|2197.808:1783.031|2762.030:1018.731,1,1785209588.6907883,2,7,direct_pair_landmarks_frozen,0,collision_risk,0,vehicle_footprint_crosses_side_boundary,0.0054,0.0054,386.775,536.011,300.000:570.000|301.326:547.878|305.286:526.072|311.822:504.896|320.840:484.652|332.213:465.630|345.777:448.103|361.337:432.322|378.671:418.513|397.531:406.874|417.646:397.570|438.728:390.737|460.475:386.471|482.577:384.833|504.716:385.848|526.575:389.499|547.841:395.737|568.210:404.469|587.390:415.573|605.106:428.889|621.105:444.225,1,47.396053,0.3,47.096053,0.0
