timestamp,elapsed_s,scan_index,quality,angle_deg,distance_mm
1785208665.077691555,0.027127,0,15,351.625000,4107.250
1785208665.077691555,0.027127,0,15,353.203125,4119.500
1785208665.077691555,0.027127,0,15,354.859375,4133.500
1785208665.077691555,0.027127,0,15,356.468750,4146.250
1785208665.077691555,0.027127,0,15,358.109375,4170.750
1785208665.077691555,0.027127,0,15,359.718750,4191.750
1785208665.077691555,0.027127,0,11,1.359375,4215.250
1785208665.077691555,0.027127,0,10,2.968750,4239.500
1785208665.077691555,0.027127,0,15,4.625000,4265.750
1785208665.077691555,0.027127,0,15,6.250000,4323.500
1785208665.077691555,0.027127,0,15,7.843750,4389.750
1785208665.077691555,0.027127,0,11,9.484375,4435.250
1785208665.077691555,0.027127,0,11,11.062500,4488.500
1785208665.077691555,0.027127,0,12,12.671875,4595.500
1785208665.077691555,0.027127,0,8,177.796875,10335.750
1785208665.077691555,0.027127,0,15,219.984375,5386.750
1785208665.077691555,0.027127,0,15,224.875000,4904.750
1785208665.077691555,0.027127,0,15,226.546875,4764.250
1785208665.077691555,0.027127,0,15,231.531250,3397.750
1785208665.077691555,0.027127,0,15,233.140625,3388.250
1785208665.077691555,0.027127,0,15,239.593750,3783.500
1785208665.077691555,0.027127,0,15,241.234375,3722.250
1785208665.077691555,0.027127,0,15,242.843750,3644.000
1785208665.077691555,0.027127,0,15,244.500000,3575.750
1785208665.077691555,0.027127,0,15,246.093750,3536.000
1785208665.077691555,0.027127,0,15,247.734375,3490.500
1785208665.077691555,0.027127,0,15,249.359375,3440.750
1785208665.077691555,0.027127,0,15,251.015625,3394.500
1785208665.077691555,0.027127,0,15,254.250000,3488.250
1785208665.077691555,0.027127,0,15,255.859375,3468.500
1785208665.077691555,0.027127,0,15,259.062500,3722.750
1785208665.077691555,0.027127,0,15,260.703125,3729.750
1785208665.077691555,0.027127,0,15,262.328125,3707.000
1785208665.077691555,0.027127,0,15,263.968750,3684.250
1785208665.077691555,0.027127,0,15,265.562500,3656.500
1785208665.077691555,0.027127,0,15,267.203125,3650.500
1785208665.077691555,0.027127,0,15,268.828125,3637.500
1785208665.077691555,0.027127,0,15,270.453125,3628.250
1785208665.077691555,0.027127,0,15,272.078125,3635.250
1785208665.077691555,0.027127,0,15,273.687500,3646.750
1785208665.077691555,0.027127,0,15,275.234375,3652.500
1785208665.077691555,0.027127,0,15,276.843750,3661.500
1785208665.077691555,0.027127,0,15,278.468750,3688.250
1785208665.077691555,0.027127,0,15,280.093750,3711.250
1785208665.077691555,0.027127,0,15,281.703125,3723.250
1785208665.077691555,0.027127,0,15,283.312500,3751.500
1785208665.077691555,0.027127,0,15,284.906250,3786.000
1785208665.077691555,0.027127,0,15,286.546875,3809.000
1785208665.077691555,0.027127,0,15,291.437500,3532.000
1785208665.077691555,0.027127,0,15,294.687500,3255.500
1785208665.077691555,0.027127,0,15,296.328125,3261.000
1785208665.077691555,0.027127,0,15,297.921875,3314.750
1785208665.077691555,0.027127,0,15,299.656250,3364.000
1785208665.077691555,0.027127,0,15,301.265625,3403.250
1785208665.077691555,0.027127,0,15,302.875000,3456.250
1785208665.077691555,0.027127,0,15,304.500000,3524.750
1785208665.077691555,0.027127,0,15,306.109375,3604.500
1785208665.077691555,0.027127,0,15,309.312500,4227.500
1785208665.077691555,0.027127,0,8,322.375000,4085.750
1785208665.077691555,0.027127,0,8,324.015625,4033.250
1785208665.077691555,0.027127,0,13,325.640625,3968.250
1785208665.077691555,0.027127,0,15,327.265625,3936.500
1785208665.077691555,0.027127,0,15,328.906250,3919.000
1785208665.077691555,0.027127,0,13,330.531250,3913.750
1785208665.077691555,0.027127,0,15,332.140625,3914.750
1785208665.077691555,0.027127,0,15,333.796875,3929.750
1785208665.077691555,0.027127,0,14,335.421875,3929.250
1785208665.077691555,0.027127,0,11,340.296875,3934.500
1785208665.077691555,0.027127,0,12,341.921875,3961.500
1785208665.077691555,0.027127,0,8,343.562500,3976.750
1785208665.077691555,0.027127,0,14,345.187500,3996.000
1785208665.077691555,0.027127,0,13,346.781250,4024.750
1785208665.077691555,0.027127,0,15,348.390625,4038.500
1785208665.077691555,0.027127,0,15,350.015625,4063.500
1785208665.302018404,0.246639,1,15,352.031250,4116.750
1785208665.302018404,0.246639,1,15,353.640625,4127.500
1785208665.302018404,0.246639,1,15,355.265625,4138.750
1785208665.302018404,0.246639,1,15,356.890625,4154.500
1785208665.302018404,0.246639,1,15,358.515625,4184.250
1785208665.302018404,0.246639,1,15,0.125000,4200.750
1785208665.302018404,0.246639,1,12,1.781250,4216.500
1785208665.302018404,0.246639,1,8,3.406250,4268.250
1785208665.302018404,0.246639,1,11,5.015625,4317.500
1785208665.302018404,0.246639,1,15,6.640625,4355.250
1785208665.302018404,0.246639,1,14,8.265625,4396.250
1785208665.302018404,0.246639,1,12,9.875000,4430.500
1785208665.302018404,0.246639,1,7,11.437500,4501.000
1785208665.302018404,0.246639,1,8,180.109375,10292.500
1785208665.302018404,0.246639,1,13,199.562500,10267.750
1785208665.302018404,0.246639,1,15,215.953125,5956.500
1785208665.302018404,0.246639,1,15,224.125000,4969.000
1785208665.302018404,0.246639,1,15,225.750000,4837.500
1785208665.302018404,0.246639,1,15,227.359375,4706.750
1785208665.302018404,0.246639,1,15,230.734375,3377.500
1785208665.302018404,0.246639,1,15,232.375000,3367.750
1785208665.302018404,0.246639,1,15,237.171875,3885.250
1785208665.302018404,0.246639,1,15,238.796875,3808.750
1785208665.302018404,0.246639,1,15,240.437500,3739.500
1785208665.302018404,0.246639,1,15,242.062500,3685.500
1785208665.302018404,0.246639,1,15,243.703125,3618.750
1785208665.302018404,0.246639,1,15,245.328125,3547.750
1785208665.302018404,0.246639,1,15,246.953125,3500.500
1785208665.302018404,0.246639,1,15,248.562500,3454.250
1785208665.302018404,0.246639,1,15,250.203125,3413.250
1785208665.302018404,0.246639,1,15,251.796875,3420.250
1785208665.302018404,0.246639,1,15,253.437500,3472.250
1785208665.302018404,0.246639,1,15,255.046875,3476.250
1785208665.302018404,0.246639,1,15,256.671875,3501.000
1785208665.302018404,0.246639,1,15,259.906250,3745.000
1785208665.302018404,0.246639,1,15,261.531250,3727.250
1785208665.302018404,0.246639,1,15,263.140625,3700.250
1785208665.302018404,0.246639,1,15,264.781250,3664.250
1785208665.302018404,0.246639,1,15,266.375000,3650.500
1785208665.302018404,0.246639,1,15,268.015625,3647.500
1785208665.302018404,0.246639,1,15,269.640625,3637.500
1785208665.302018404,0.246639,1,15,271.250000,3649.500
1785208665.302018404,0.246639,1,15,272.875000,3651.750
1785208665.302018404,0.246639,1,15,274.500000,3646.500
1785208665.302018404,0.246639,1,15,276.078125,3647.000
1785208665.302018404,0.246639,1,15,277.703125,3664.750
1785208665.302018404,0.246639,1,15,279.328125,3700.250
1785208665.302018404,0.246639,1,15,280.937500,3718.500
1785208665.302018404,0.246639,1,15,282.562500,3729.250
1785208665.302018404,0.246639,1,15,284.171875,3764.000
1785208665.302018404,0.246639,1,15,285.796875,3797.750
1785208665.302018404,0.246639,1,15,287.406250,3810.500
1785208665.302018404,0.246639,1,15,290.687500,3583.500
1785208665.302018404,0.246639,1,15,295.609375,3235.250
1785208665.302018404,0.246639,1,15,297.203125,3279.250
1785208665.302018404,0.246639,1,15,298.984375,3335.500
1785208665.302018404,0.246639,1,15,300.593750,3389.500
1785208665.302018404,0.246639,1,15,302.203125,3444.250
1785208665.302018404,0.246639,1,15,303.843750,3504.500
1785208665.302018404,0.246639,1,15,305.468750,3571.250
1785208665.302018404,0.246639,1,15,308.687500,4207.750
1785208665.302018404,0.246639,1,7,321.703125,4099.750
1785208665.302018404,0.246639,1,11,326.640625,3935.250
1785208665.302018404,0.246639,1,10,328.265625,3920.500
1785208665.302018404,0.246639,1,13,329.890625,3914.000
1785208665.302018404,0.246639,1,13,331.546875,3910.500
1785208665.302018404,0.246639,1,15,333.156250,3912.750
1785208665.302018404,0.246639,1,15,334.796875,3912.750
1785208665.302018404,0.246639,1,8,336.421875,3927.250
1785208665.302018404,0.246639,1,11,338.046875,3953.500
1785208665.302018404,0.246639,1,8,339.687500,3956.250
1785208665.302018404,0.246639,1,10,341.312500,3951.250
1785208665.302018404,0.246639,1,8,342.953125,3970.000
1785208665.302018404,0.246639,1,10,344.578125,3994.250
1785208665.302018404,0.246639,1,12,346.203125,4020.250
1785208665.302018404,0.246639,1,15,347.796875,4042.750
1785208665.302018404,0.246639,1,15,349.406250,4067.750
1785208665.413230896,0.318060,2,13,351.046875,4095.750
1785208665.413230896,0.318060,2,15,352.671875,4105.750
1785208665.413230896,0.318060,2,15,354.296875,4124.500
1785208665.413230896,0.318060,2,15,355.906250,4145.000
1785208665.413230896,0.318060,2,15,357.546875,4156.500
1785208665.413230896,0.318060,2,15,359.156250,4179.500
1785208665.413230896,0.318060,2,10,0.796875,4214.500
1785208665.413230896,0.318060,2,15,2.421875,4254.250
1785208665.413230896,0.318060,2,9,4.031250,4295.000
1785208665.413230896,0.318060,2,14,5.671875,4335.250
1785208665.413230896,0.318060,2,15,7.312500,4382.250
1785208665.413230896,0.318060,2,15,8.937500,4421.750
1785208665.413230896,0.318060,2,15,10.531250,4470.250
1785208665.413230896,0.318060,2,11,12.156250,4553.750
1785208665.413230896,0.318060,2,7,177.609375,10273.000
1785208665.413230896,0.318060,2,7,182.484375,10306.250
1785208665.413230896,0.318060,2,15,219.968750,5388.500
1785208665.413230896,0.318060,2,15,224.859375,4906.750
1785208665.413230896,0.318060,2,15,226.468750,4778.250
1785208665.413230896,0.318060,2,15,228.093750,4647.750
1785208665.413230896,0.318060,2,15,231.437500,3401.000
1785208665.413230896,0.318060,2,15,233.046875,3401.750
1785208665.413230896,0.318060,2,15,241.140625,3725.500
1785208665.413230896,0.318060,2,15,242.765625,3645.500
