timestamp,elapsed_s,scan_index,quality,angle_deg,distance_mm
1785219772.810183525,0.023064,0,15,351.437500,3878.500
1785219772.810183525,0.023064,0,11,353.078125,3936.250
1785219772.810183525,0.023064,0,12,354.703125,3975.500
1785219772.810183525,0.023064,0,15,356.359375,4028.500
1785219772.810183525,0.023064,0,15,358.000000,4086.250
1785219772.810183525,0.023064,0,15,359.640625,4135.000
1785219772.810183525,0.023064,0,13,1.281250,4163.500
1785219772.810183525,0.023064,0,15,2.921875,4219.500
1785219772.810183525,0.023064,0,15,4.593750,4285.000
1785219772.810183525,0.023064,0,15,6.218750,4353.000
1785219772.810183525,0.023064,0,15,7.875000,4428.250
1785219772.810183525,0.023064,0,13,9.515625,4487.750
1785219772.810183525,0.023064,0,13,11.062500,4584.750
1785219772.810183525,0.023064,0,7,178.718750,10146.750
1785219772.810183525,0.023064,0,8,183.671875,10117.750
1785219772.810183525,0.023064,0,15,224.906250,3964.000
1785219772.810183525,0.023064,0,15,234.875000,3387.000
1785219772.810183525,0.023064,0,15,236.531250,3356.750
1785219772.810183525,0.023064,0,15,241.421875,3850.250
1785219772.810183525,0.023064,0,15,243.062500,3774.250
1785219772.810183525,0.023064,0,15,244.703125,3716.000
1785219772.810183525,0.023064,0,15,246.359375,3653.250
1785219772.810183525,0.023064,0,15,248.000000,3590.250
1785219772.810183525,0.023064,0,15,249.671875,3542.500
1785219772.810183525,0.023064,0,15,251.328125,3500.250
1785219772.810183525,0.023064,0,15,252.968750,3452.000
1785219772.810183525,0.023064,0,15,254.625000,3401.250
1785219772.810183525,0.023064,0,15,257.921875,3500.750
1785219772.810183525,0.023064,0,15,259.531250,3514.000
1785219772.810183525,0.023064,0,15,262.828125,3764.500
1785219772.810183525,0.023064,0,15,264.468750,3753.250
1785219772.810183525,0.023064,0,15,266.109375,3737.250
1785219772.810183525,0.023064,0,15,267.750000,3726.250
1785219772.810183525,0.023064,0,15,269.406250,3715.000
1785219772.810183525,0.023064,0,15,271.046875,3706.500
1785219772.810183525,0.023064,0,15,272.703125,3705.000
1785219772.810183525,0.023064,0,15,274.328125,3701.750
1785219772.810183525,0.023064,0,15,275.906250,3704.750
1785219772.810183525,0.023064,0,15,277.531250,3706.000
1785219772.810183525,0.023064,0,15,279.187500,3713.250
1785219772.810183525,0.023064,0,15,280.812500,3735.750
1785219772.810183525,0.023064,0,15,282.453125,3755.750
1785219772.810183525,0.023064,0,15,284.093750,3769.750
1785219772.810183525,0.023064,0,15,285.734375,3787.250
1785219772.810183525,0.023064,0,15,287.375000,3806.000
1785219772.810183525,0.023064,0,15,289.000000,3833.000
1785219772.810183525,0.023064,0,14,290.640625,3858.500
1785219772.810183525,0.023064,0,15,293.937500,3615.000
1785219772.810183525,0.023064,0,15,298.984375,3306.000
1785219772.810183525,0.023064,0,15,300.640625,3348.500
1785219772.810183525,0.023064,0,15,302.281250,3393.250
1785219772.810183525,0.023064,0,15,303.921875,3453.250
1785219772.810183525,0.023064,0,15,305.562500,3508.250
1785219772.810183525,0.023064,0,15,308.828125,3668.750
1785219772.810183525,0.023064,0,15,315.406250,3680.750
1785219772.810183525,0.023064,0,15,317.046875,3672.250
1785219772.810183525,0.023064,0,14,318.687500,3655.750
1785219772.810183525,0.023064,0,13,320.328125,3625.000
1785219772.810183525,0.023064,0,12,321.984375,3607.500
1785219772.810183525,0.023064,0,8,323.703125,3597.250
1785219772.810183525,0.023064,0,9,325.359375,3579.750
1785219772.810183525,0.023064,0,7,327.000000,3571.750
1785219772.810183525,0.023064,0,8,328.640625,3570.500
1785219772.810183525,0.023064,0,10,330.296875,3571.750
1785219772.810183525,0.023064,0,11,331.937500,3573.750
1785219772.810183525,0.023064,0,10,333.593750,3573.500
1785219772.810183525,0.023064,0,9,335.250000,3584.750
1785219772.810183525,0.023064,0,15,336.890625,3605.500
1785219772.810183525,0.023064,0,15,338.546875,3631.500
1785219772.810183525,0.023064,0,15,340.156250,3654.500
1785219772.810183525,0.023064,0,15,341.843750,3673.000
1785219772.810183525,0.023064,0,15,343.468750,3698.250
1785219772.810183525,0.023064,0,15,345.125000,3707.000
1785219772.810183525,0.023064,0,15,346.796875,3695.750
1785219772.810183525,0.023064,0,13,348.421875,3677.000
1785219773.143335581,0.318577,1,15,352.625000,3896.750
1785219773.143335581,0.318577,1,14,354.250000,3945.000
1785219773.143335581,0.318577,1,15,355.921875,3999.750
1785219773.143335581,0.318577,1,15,357.546875,4054.000
1785219773.143335581,0.318577,1,15,359.187500,4107.500
1785219773.143335581,0.318577,1,13,0.843750,4145.750
1785219773.143335581,0.318577,1,15,2.484375,4197.500
1785219773.143335581,0.318577,1,15,4.125000,4252.000
1785219773.143335581,0.318577,1,15,5.765625,4322.000
1785219773.143335581,0.318577,1,15,7.406250,4413.500
1785219773.143335581,0.318577,1,15,9.078125,4467.250
1785219773.143335581,0.318577,1,12,10.656250,4553.750
1785219773.143335581,0.318577,1,15,201.500000,10223.250
1785219773.143335581,0.318577,1,15,224.828125,4005.750
1785219773.143335581,0.318577,1,15,234.781250,3388.250
1785219773.143335581,0.318577,1,15,236.421875,3355.000
1785219773.143335581,0.318577,1,15,241.312500,3861.750
1785219773.143335581,0.318577,1,15,242.968750,3785.500
1785219773.143335581,0.318577,1,15,244.609375,3718.500
1785219773.143335581,0.318577,1,15,246.250000,3655.000
1785219773.143335581,0.318577,1,15,247.937500,3592.750
1785219773.143335581,0.318577,1,15,249.578125,3549.000
1785219773.143335581,0.318577,1,15,251.250000,3502.500
1785219773.143335581,0.318577,1,15,252.875000,3450.750
1785219773.143335581,0.318577,1,15,254.546875,3403.250
1785219773.143335581,0.318577,1,15,257.812500,3512.000
1785219773.143335581,0.318577,1,15,259.453125,3487.500
1785219773.143335581,0.318577,1,15,262.734375,3757.500
1785219773.143335581,0.318577,1,15,264.375000,3755.000
1785219773.143335581,0.318577,1,15,266.031250,3736.500
1785219773.143335581,0.318577,1,15,267.687500,3723.750
1785219773.143335581,0.318577,1,15,269.343750,3711.250
1785219773.143335581,0.318577,1,15,271.000000,3702.250
1785219773.143335581,0.318577,1,15,272.640625,3698.250
1785219773.143335581,0.318577,1,15,274.281250,3699.000
1785219773.143335581,0.318577,1,15,275.843750,3712.500
1785219773.143335581,0.318577,1,15,277.515625,3714.000
1785219773.143335581,0.318577,1,15,279.140625,3712.750
1785219773.143335581,0.318577,1,15,280.781250,3734.000
1785219773.143335581,0.318577,1,15,282.421875,3756.250
1785219773.143335581,0.318577,1,15,284.093750,3769.250
1785219773.143335581,0.318577,1,15,285.703125,3785.750
1785219773.143335581,0.318577,1,15,287.343750,3805.250
1785219773.143335581,0.318577,1,15,289.000000,3831.250
1785219773.143335581,0.318577,1,15,290.640625,3856.750
