timestamp,quality,angle_deg,distance_mm
1785118311.0476978,9,351.40625,5543.75
1785118311.0476978,10,353.015625,5519.75
1785118311.0476978,8,354.65625,5509.5
1785118311.0476978,10,356.28125,5504.25
1785118311.0476978,9,357.890625,5491.25
1785118311.0476978,9,359.53125,5473.0
1785118311.0476978,9,2.796875,5440.75
1785118311.0476978,10,4.421875,5401.5
1785118311.0476978,9,6.03125,5387.75
1785118311.0476978,8,7.671875,5354.75
1785118311.0476978,10,9.296875,5362.5
1785118311.0476978,10,10.90625,5409.0
1785118311.0476978,8,12.53125,5430.75
1785118311.0476978,15,24.546875,372.25
1785118311.0476978,15,25.96875,371.75
1785118311.0476978,15,27.8125,371.25
1785118311.0476978,15,29.03125,375.25
1785118311.0476978,13,161.8125,9577.25
1785118311.0476978,15,165.0625,9822.0
1785118311.0476978,9,169.9375,9900.5
1785118311.0476978,7,171.546875,9972.75
1785118311.0476978,9,173.171875,9923.75
1785118311.0476978,9,174.796875,9870.0
1785118311.0476978,9,176.421875,9837.25
1785118311.0476978,7,178.0625,9849.75
1785118311.0476978,10,179.75,9836.25
1785118311.0476978,8,181.375,9862.25
1785118311.0476978,15,215.921875,2672.5
1785118311.0476978,15,228.671875,4652.5
1785118311.0476978,15,230.3125,4521.5
1785118311.0476978,15,240.125,3767.25
1785118311.0476978,15,241.78125,3695.0
1785118311.0476978,15,243.390625,3628.0
1785118311.0476978,15,245.0,3586.25
1785118311.0476978,15,248.296875,3446.75
1785118311.0476978,15,249.9375,3406.0
1785118311.0476978,15,251.546875,3375.5
1785118311.0476978,15,253.171875,3348.5
1785118311.0476978,15,254.8125,3309.0
1785118311.0476978,15,256.4375,3277.25
1785118311.0476978,15,258.046875,3253.5
1785118311.0476978,15,259.6875,3223.5
1785118311.0476978,15,262.90625,3339.75
1785118311.0476978,15,267.75,3605.5
1785118311.0476978,15,269.375,3599.75
1785118311.0476978,15,271.015625,3594.5
1785118311.0476978,15,272.625,3592.0
1785118311.0476978,15,274.25,3590.75
1785118311.0476978,15,275.84375,3594.0
1785118311.0476978,15,277.484375,3601.75
1785118311.0476978,15,279.09375,3615.25
1785118311.0476978,15,280.703125,3636.25
1785118311.0476978,15,282.328125,3651.5
1785118311.0476978,15,283.953125,3679.5
1785118311.0476978,15,285.5625,3722.5
1785118311.0476978,15,287.1875,3762.25
1785118311.0476978,15,288.8125,3790.0
1785118311.0476978,15,290.421875,3806.75
1785118311.0476978,15,292.046875,3831.75
1785118311.0476978,15,293.65625,3871.0
1785118311.0476978,15,295.296875,3885.0
1785118311.0476978,15,298.640625,3719.0
1785118311.0476978,15,300.28125,3639.0
1785118311.0476978,15,303.546875,3391.75
1785118311.0476978,15,305.171875,3448.75
1785118311.0476978,15,306.78125,3523.75
1785118311.0476978,15,310.140625,2738.5
1785118311.0476978,15,318.078125,4687.25
1785118311.0476978,15,321.3125,4960.25
1785118311.0476978,15,324.5625,5315.25
1785118311.0476978,15,331.53125,1977.75
1785118311.0476978,8,340.828125,5658.75
1785118311.0476978,9,342.46875,5621.25
1785118311.0476978,7,344.078125,5601.75
1785118311.0476978,11,345.703125,5595.0
1785118311.0476978,11,347.359375,5578.5
1785118311.0476978,9,348.984375,5565.25
1785118312.5196605,11,350.625,5548.0
1785118312.5196605,10,352.25,5525.75
1785118312.5196605,10,353.859375,5511.75
1785118312.5196605,10,355.5,5507.5
1785118312.5196605,10,357.140625,5498.75
1785118312.5196605,8,358.75,5481.0
1785118312.5196605,8,0.390625,5459.75
1785118312.5196605,9,2.03125,5425.75
1785118312.5196605,10,5.28125,5381.5
1785118312.5196605,11,6.921875,5355.5
1785118312.5196605,8,8.546875,5359.0
1785118312.5196605,11,11.75,5382.25
1785118312.5196605,15,18.046875,465.75
1785118312.5196605,15,23.46875,372.75
1785118312.5196605,15,25.078125,372.0
1785118312.5196605,15,26.90625,371.0
1785118312.5196605,15,28.328125,372.5
1785118312.5196605,15,51.265625,101.5
1785118312.5196605,15,165.921875,9736.25
1785118312.5196605,8,169.15625,9805.5
1785118312.5196605,8,170.765625,9919.25
1785118312.5196605,8,172.40625,9913.25
1785118312.5196605,9,174.03125,9877.5
1785118312.5196605,7,177.296875,9836.75
1785118312.5196605,11,178.953125,9861.0
1785118312.5196605,11,182.1875,9857.0
1785118312.5196605,15,201.734375,9863.75
1785118312.5196605,15,213.453125,2664.75
1785118312.5196605,15,215.078125,2645.5
1785118312.5196605,15,229.453125,4590.25
1785118312.5196605,15,239.25,3810.25
1785118312.5196605,15,240.90625,3736.5
1785118312.5196605,15,245.796875,3537.5
1785118312.5196605,15,247.421875,3487.25
1785118312.5196605,15,249.0625,3434.0
1785118312.5196605,15,250.703125,3392.75
1785118312.5196605,15,252.34375,3362.25
1785118312.5196605,15,253.953125,3329.75
1785118312.5196605,15,255.609375,3288.5
1785118312.5196605,15,257.21875,3257.0
1785118312.5196605,15,258.84375,3238.75
1785118312.5196605,15,260.46875,3278.5
1785118312.5196605,15,262.09375,3333.0
1785118312.5196605,15,263.71875,3330.75
1785118312.5196605,15,266.9375,3576.75
1785118312.5196605,15,268.578125,3598.5
1785118312.5196605,15,270.1875,3592.5
1785118312.5196605,15,271.828125,3587.5
1785118312.5196605,15,273.453125,3588.25
1785118312.5196605,15,275.03125,3593.25
1785118312.5196605,15,276.65625,3605.25
1785118312.5196605,15,278.28125,3609.75
1785118312.5196605,15,279.90625,3629.0
1785118312.5196605,15,281.53125,3646.25
1785118312.5196605,15,283.125,3656.25
1785118312.5196605,15,284.78125,3689.5
1785118312.5196605,15,286.375,3730.0
1785118312.5196605,15,288.0,3766.5
1785118312.5196605,15,289.625,3792.0
1785118312.5196605,15,291.234375,3811.75
1785118312.5196605,15,292.84375,3850.0
1785118312.5196605,15,294.484375,3897.75
1785118312.5196605,15,299.453125,3678.5
1785118312.5196605,15,302.71875,3429.75
1785118312.5196605,15,304.34375,3417.25
1785118312.5196605,15,305.96875,3485.5
1785118312.5196605,15,309.34375,2779.25
1785118312.5196605,15,320.5,4911.75
1785118312.5196605,15,322.09375,5056.0
1785118312.5196605,9,161.796875,9581.5
1785118312.5196605,15,165.03125,9826.25
1785118312.5196605,7,171.53125,9855.75
1785118312.5196605,8,174.78125,9873.75
1785118312.5196605,7,176.40625,9837.75
1785118312.5196605,10,178.03125,9847.0
1785118312.5196605,8,179.671875,9828.0
