timestamp,quality,angle_deg,distance_mm
1784969659.0299828,15,353.640625,8504.0
1784969659.0299828,15,355.296875,8505.5
1784969659.0299828,15,356.96875,8539.5
1784969659.0299828,15,358.609375,8583.25
1784969659.0299828,15,0.25,8650.75
1784969659.0299828,15,1.90625,8707.0
1784969659.0299828,15,3.5625,8718.25
1784969659.0299828,15,8.515625,8773.75
1784969659.0299828,14,10.171875,8824.5
1784969659.0299828,15,58.578125,102.0
1784969659.0299828,7,193.3125,3638.0
1784969659.0299828,10,201.640625,3186.75
1784969659.0299828,9,216.515625,2805.5
1784969659.0299828,9,219.796875,2769.0
1784969659.0299828,15,221.4375,2743.5
1784969659.0299828,15,223.109375,2727.0
1784969659.0299828,9,226.421875,2631.25
1784969659.0299828,7,229.671875,2665.25
1784969659.0299828,14,231.34375,2670.5
1784969659.0299828,7,232.953125,2680.25
1784969659.0299828,5,239.5625,2675.0
1784969659.0299828,13,241.203125,2657.0
1784969659.0299828,15,242.875,2654.25
1784969659.0299828,14,259.3125,2872.0
1784969659.0299828,8,260.984375,2896.25
1784969659.0299828,15,262.609375,2929.25
1784969659.0299828,15,264.234375,2975.0
1784969659.0299828,12,265.890625,3017.75
1784969659.0299828,9,267.546875,3056.25
1784969659.0299828,15,269.1875,3104.0
1784969659.0299828,15,270.828125,3155.0
1784969659.0299828,15,272.46875,3194.5
1784969659.0299828,15,274.109375,3254.5
1784969659.0299828,4,275.734375,3335.75
1784969659.0299828,9,279.0,3536.0
1784969659.0299828,15,290.5,3921.25
1784969659.0299828,15,292.125,3948.75
1784969659.0299828,15,293.765625,3989.75
1784969659.0299828,15,295.40625,4064.0
1784969659.0299828,15,297.0625,4128.25
1784969659.0299828,15,298.765625,4176.75
1784969659.0299828,15,300.40625,4256.25
1784969659.0299828,15,303.6875,4851.75
1784969659.0299828,15,305.328125,4950.0
1784969659.0299828,15,306.984375,5054.5
1784969659.0299828,15,308.625,5153.0
1784969659.0299828,15,310.265625,5267.25
1784969659.0299828,15,311.90625,5393.5
1784969659.0299828,15,316.828125,5901.0
1784969659.0299828,15,318.484375,6060.0
1784969659.0299828,15,321.765625,6548.75
1784969659.0299828,15,338.21875,9791.25
1784969659.0299828,15,342.3125,1620.25
1784969659.0299828,15,345.703125,1458.5
1784969660.4796996,15,351.46875,8567.25
1784969660.4796996,15,353.125,8487.75
1784969660.4796996,15,354.78125,8513.25
1784969660.4796996,15,356.4375,8521.75
1784969660.4796996,15,358.078125,8561.0
1784969660.4796996,15,359.71875,8610.5
1784969660.4796996,15,1.375,8653.75
1784969660.4796996,15,3.03125,8704.75
