timestamp,quality,angle_deg,distance_mm
1785156471.0679464,15,355.015625,7418.25
1785156471.0679464,15,358.3125,7064.25
1785156471.0679464,15,359.9375,7025.25
1785156471.0679464,15,1.59375,6992.25
1785156471.0679464,15,3.234375,6939.75
1785156471.0679464,15,4.875,6856.5
1785156471.0679464,15,6.515625,6773.25
1785156471.0679464,15,8.15625,6754.25
1785156471.0679464,15,9.796875,6760.75
1785156471.0679464,15,11.375,6797.75
1785156471.0679464,15,13.015625,6840.75
1785156471.0679464,15,14.65625,6871.0
1785156471.0679464,15,45.640625,107.0
1785156471.0679464,15,47.703125,104.75
1785156471.0679464,15,49.90625,102.0
1785156471.0679464,7,181.515625,10151.0
1785156471.0679464,15,214.46875,3964.25
1785156471.0679464,15,219.421875,3530.75
1785156471.0679464,15,224.390625,3173.75
1785156471.0679464,15,227.6875,3004.25
1785156471.0679464,13,229.328125,2932.0
1785156471.0679464,15,232.65625,2744.5
1785156471.0679464,15,235.921875,2613.25
1785156471.0679464,11,237.578125,2587.25
1785156471.0679464,15,239.21875,2542.5
1785156471.0679464,15,240.84375,2506.0
1785156471.0679464,15,242.5,2467.75
1785156471.0679464,14,244.140625,2435.0
1785156471.0679464,9,245.78125,2400.5
1785156471.0679464,10,247.4375,2357.25
1785156471.0679464,8,249.09375,2327.0
1785156471.0679464,15,250.703125,2304.5
1785156471.0679464,15,252.375,2281.75
1785156471.0679464,15,254.03125,2264.25
1785156471.0679464,15,255.65625,2253.25
1785156471.0679464,13,257.296875,2240.0
1785156471.0679464,9,285.0625,2223.25
1785156471.0679464,14,286.6875,2226.25
1785156471.0679464,15,288.359375,2243.75
1785156471.0679464,15,289.953125,2262.25
1785156471.0679464,15,291.59375,2284.75
1785156471.0679464,15,293.21875,2307.75
1785156471.0679464,11,294.84375,2329.75
1785156471.0679464,9,296.484375,2353.25
1785156471.0679464,15,298.125,2388.0
1785156471.0679464,13,299.84375,2424.25
1785156471.0679464,12,301.484375,2445.25
1785156471.0679464,15,303.125,2479.25
1785156471.0679464,12,304.765625,2519.25
1785156471.0679464,11,306.375,2549.75
1785156471.0679464,15,308.015625,2594.5
1785156471.0679464,15,309.671875,2636.0
1785156471.0679464,15,311.3125,2683.75
1785156471.0679464,12,312.9375,2746.5
1785156471.0679464,15,314.546875,2819.0
1785156471.0679464,7,316.1875,2886.25
1785156471.0679464,13,319.453125,3032.75
1785156471.0679464,15,322.703125,3214.0
1785156471.0679464,15,324.3125,3300.75
1785156471.0679464,15,325.9375,3401.0
1785156471.0679464,15,329.203125,3630.0
1785156472.7536159,15,354.53125,7425.5
1785156472.7536159,15,357.828125,7072.0
1785156472.7536159,15,359.46875,7053.5
1785156472.7536159,15,1.109375,7009.25
1785156472.7536159,15,2.765625,7022.5
1785156472.7536159,14,4.40625,6982.25
1785156472.7536159,15,6.03125,6821.75
1785156472.7536159,15,7.6875,6748.0
1785156472.7536159,15,9.328125,6735.0
1785156472.7536159,15,10.953125,6760.5
1785156472.7536159,15,12.59375,6803.25
1785156472.7536159,15,14.21875,6882.25
1785156472.7536159,15,47.28125,105.5
1785156472.7536159,15,214.234375,3969.0
1785156472.7536159,15,219.203125,3558.0
1785156472.7536159,15,225.828125,3085.75
1785156472.7536159,15,227.390625,3019.25
1785156472.7536159,15,232.359375,2743.25
1785156472.7536159,11,234.015625,2674.75
1785156472.7536159,15,235.65625,2628.75
1785156472.7536159,12,237.296875,2598.5
1785156472.7536159,12,238.953125,2554.5
1785156472.7536159,15,240.578125,2513.5
1785156472.7536159,15,242.234375,2471.5
1785156472.7536159,15,243.875,2439.75
1785156472.7536159,12,245.515625,2402.25
