timestamp,quality,angle_deg,distance_mm
1785146962.8726168,15,350.3125,9227.25
1785146962.8726168,15,353.640625,7469.5
1785146962.8726168,15,356.921875,7093.5
1785146962.8726168,15,358.5625,7098.25
1785146962.8726168,15,0.1875,7071.0
1785146962.8726168,15,1.84375,7074.0
1785146962.8726168,15,5.125,6805.0
1785146962.8726168,15,6.78125,6821.25
1785146962.8726168,7,8.421875,6857.0
1785146962.8726168,15,19.046875,544.5
1785146962.8726168,15,20.640625,543.75
1785146962.8726168,15,22.125,554.25
1785146962.8726168,15,23.6875,570.75
1785146962.8726168,15,25.25,582.5
1785146962.8726168,15,27.046875,591.25
1785146962.8726168,15,46.875,107.75
1785146962.8726168,15,163.71875,10273.75
1785146962.8726168,15,165.359375,10155.25
1785146962.8726168,9,222.9375,3094.25
1785146962.8726168,15,224.59375,3014.75
1785146962.8726168,14,226.234375,2944.5
1785146962.8726168,15,227.9375,2883.25
1785146962.8726168,15,231.21875,2734.5
1785146962.8726168,15,232.859375,2687.5
1785146962.8726168,15,234.515625,2641.0
1785146962.8726168,15,236.140625,2612.5
1785146962.8726168,15,237.828125,2584.75
1785146962.8726168,15,239.453125,2549.0
1785146962.8726168,15,241.0625,2522.25
1785146962.8726168,15,242.734375,2493.25
1785146962.8726168,15,244.359375,2469.0
1785146962.8726168,15,246.03125,2451.75
1785146962.8726168,15,247.65625,2438.0
1785146962.8726168,13,249.296875,2427.25
1785146962.8726168,15,250.921875,2412.75
1785146962.8726168,15,252.515625,2396.75
1785146962.8726168,15,254.1875,2392.0
1785146962.8726168,9,255.8125,2387.25
1785146962.8726168,8,257.46875,2378.25
1785146962.8726168,15,259.109375,2363.25
1785146962.8726168,12,260.75,2346.25
1785146962.8726168,12,262.359375,2338.5
1785146962.8726168,11,264.015625,2336.0
1785146962.8726168,12,265.640625,2337.75
1785146962.8726168,14,267.265625,2342.25
1785146962.8726168,13,268.890625,2346.5
1785146962.8726168,12,270.546875,2345.25
1785146962.8726168,12,272.171875,2355.25
1785146962.8726168,15,273.8125,2380.25
1785146962.8726168,15,275.40625,2402.25
1785146962.8726168,15,277.015625,2420.75
1785146962.8726168,15,278.671875,2435.75
1785146962.8726168,15,280.28125,2447.0
1785146962.8726168,11,281.90625,2466.0
1785146962.8726168,15,283.546875,2491.0
1785146962.8726168,15,285.1875,2518.75
1785146962.8726168,15,286.828125,2544.75
1785146962.8726168,13,288.4375,2567.25
1785146962.8726168,15,290.046875,2596.25
1785146962.8726168,13,291.6875,2629.25
1785146962.8726168,11,293.296875,2660.0
1785146962.8726168,15,294.9375,2699.25
1785146962.8726168,14,296.53125,2742.75
1785146962.8726168,15,298.171875,2795.0
1785146962.8726168,12,299.921875,2857.75
1785146962.8726168,15,301.578125,2905.5
1785146962.8726168,15,303.21875,2963.75
1785146962.8726168,10,304.84375,3022.75
1785146962.8726168,15,306.46875,3066.5
1785146962.8726168,15,309.765625,3225.25
1785146962.8726168,5,311.359375,3305.5
1785146962.8726168,9,314.625,3524.25
1785146962.8726168,15,316.28125,3618.5
1785146962.8726168,8,317.875,3717.5
1785146962.8726168,11,322.796875,4117.0
1785146962.8726168,15,348.890625,9362.75
1785146964.5614724,15,353.84375,7457.0
1785146964.5614724,15,357.125,7083.25
1785146964.5614724,15,358.765625,7078.25
1785146964.5614724,15,0.390625,7037.0
1785146964.5614724,15,2.046875,7050.5
1785146964.5614724,15,5.328125,6833.5
1785146964.5614724,15,6.953125,6819.5
1785146964.5614724,8,8.59375,6846.5
1785146964.5614724,15,17.578125,546.5
1785146964.5614724,15,19.25,542.25
1785146964.5614724,15,20.8125,543.0
1785146964.5614724,15,23.90625,573.0
1785146964.5614724,15,25.703125,585.25
1785146964.5614724,15,27.078125,594.0
1785146964.5614724,15,45.671875,107.25
1785146964.5614724,15,162.328125,10362.25
1785146964.5614724,15,163.96875,10300.75
1785146964.5614724,13,165.609375,10190.75
1785146964.5614724,15,206.71875,4178.0
1785146964.5614724,15,210.015625,3889.25
1785146964.5614724,5,223.21875,3083.5
1785146964.5614724,15,224.828125,3013.25
1785146964.5614724,13,226.46875,2948.0
1785146964.5614724,15,228.109375,2879.0
1785146964.5614724,15,231.40625,2729.0
1785146964.5614724,15,233.0625,2682.0
1785146964.5614724,15,234.734375,2626.25
1785146964.5614724,15,236.359375,2595.25
1785146964.5614724,15,237.984375,2580.0
1785146964.5614724,15,239.609375,2547.0
1785146964.5614724,15,241.265625,2520.75
1785146964.5614724,15,242.90625,2494.0
1785146964.5614724,15,244.515625,2469.0
1785146964.5614724,15,246.171875,2447.0
1785146964.5614724,15,247.828125,2434.0
