timestamp,quality,angle_deg,distance_mm
1785157083.9494562,15,354.203125,7618.75
1785157083.9494562,15,357.5,7199.75
1785157083.9494562,15,359.15625,7177.5
1785157083.9494562,15,0.796875,7165.0
1785157083.9494562,15,2.4375,7167.25
1785157083.9494562,11,4.078125,7179.0
1785157083.9494562,15,7.359375,6947.0
1785157083.9494562,15,18.421875,325.25
1785157083.9494562,15,19.734375,323.0
1785157083.9494562,15,21.859375,321.25
1785157083.9494562,15,23.390625,321.25
1785157083.9494562,15,25.046875,323.5
1785157083.9494562,15,47.71875,106.0
1785157083.9494562,15,164.53125,10152.5
1785157083.9494562,8,182.59375,10271.25
1785157083.9494562,8,195.828125,6138.0
1785157083.9494562,4,210.65625,3840.0
1785157083.9494562,15,212.296875,3740.25
1785157083.9494562,13,220.578125,3150.25
1785157083.9494562,8,227.203125,2802.5
1785157083.9494562,7,230.5,2671.75
1785157083.9494562,15,232.15625,2606.5
1785157083.9494562,9,233.78125,2559.25
1785157083.9494562,15,235.4375,2525.5
1785157083.9494562,8,237.109375,2473.5
1785157083.9494562,15,238.71875,2437.25
1785157083.9494562,10,240.375,2408.0
1785157083.9494562,14,242.015625,2360.5
1785157083.9494562,15,243.65625,2323.75
1785157083.9494562,15,245.34375,2296.75
1785157083.9494562,15,246.9375,2275.0
1785157083.9494562,15,248.625,2252.0
1785157083.9494562,10,250.25,2234.25
1785157083.9494562,8,251.90625,2220.25
1785157083.9494562,8,283.015625,2213.5
1785157083.9494562,15,284.65625,2222.75
1785157083.9494562,14,286.3125,2236.25
1785157083.9494562,15,287.921875,2250.25
1785157083.9494562,15,289.578125,2268.5
1785157083.9494562,8,291.203125,2299.75
1785157083.9494562,14,292.828125,2333.5
1785157083.9494562,11,294.46875,2361.75
1785157083.9494562,13,296.09375,2403.0
1785157083.9494562,15,297.71875,2438.0
1785157083.9494562,13,299.4375,2459.5
1785157083.9494562,15,301.046875,2495.75
1785157083.9494562,12,302.6875,2536.5
1785157083.9494562,15,304.328125,2580.75
1785157083.9494562,15,305.953125,2625.75
1785157083.9494562,15,307.578125,2682.5
1785157083.9494562,15,309.234375,2739.0
1785157083.9494562,13,310.84375,2792.5
1785157083.9494562,11,312.484375,2863.0
1785157083.9494562,9,315.734375,3027.5
1785157083.9494562,10,319.0,3180.5
1785157083.9494562,12,323.921875,3503.25
1785157083.9494562,13,328.8125,3898.75
1785157085.6376755,15,355.25,7542.75
1785157085.6376755,15,358.546875,7194.0
1785157085.6376755,15,0.1875,7158.25
1785157085.6376755,15,1.828125,7132.25
1785157085.6376755,15,3.46875,7126.25
1785157085.6376755,15,6.78125,6860.5
1785157085.6376755,15,8.4375,6955.0
1785157085.6376755,15,19.375,319.5
1785157085.6376755,15,20.828125,318.75
1785157085.6376755,15,22.625,317.75
1785157085.6376755,15,24.59375,317.25
1785157085.6376755,15,25.703125,318.25
1785157085.6376755,15,27.484375,323.25
1785157085.6376755,15,47.125,106.75
1785157085.6376755,15,48.65625,104.75
1785157085.6376755,15,49.90625,102.0
1785157085.6376755,15,165.5625,10085.75
1785157085.6376755,8,221.59375,3100.5
1785157085.6376755,9,226.59375,2823.0
1785157085.6376755,11,233.171875,2579.0
1785157085.6376755,15,236.453125,2479.0
1785157085.6376755,7,238.09375,2450.5
1785157085.6376755,15,239.75,2419.5
1785157085.6376755,10,241.40625,2377.25
1785157085.6376755,13,243.078125,2337.25
1785157085.6376755,15,244.6875,2309.5
1785157085.6376755,15,246.359375,2288.25
1785157085.6376755,15,247.96875,2264.25
1785157085.6376755,13,249.625,2242.5
1785157085.6376755,13,251.3125,2225.5
1785157085.6376755,8,282.359375,2215.25
1785157085.6376755,9,283.984375,2221.0
1785157085.6376755,15,285.609375,2232.75
1785157085.6376755,15,287.234375,2245.5
1785157085.6376755,15,288.875,2262.5
1785157085.6376755,15,290.484375,2285.75
1785157085.6376755,11,292.140625,2315.25
1785157085.6376755,10,293.734375,2349.75
1785157085.6376755,15,295.390625,2389.75
1785157085.6376755,15,296.984375,2425.5
1785157085.6376755,12,298.734375,2449.75
1785157085.6376755,15,300.359375,2479.5
1785157085.6376755,15,301.96875,2521.5
1785157085.6376755,14,303.609375,2558.5
1785157085.6376755,14,305.25,2605.75
1785157085.6376755,12,306.875,2657.75
1785157085.6376755,15,308.484375,2710.75
1785157085.6376755,13,310.140625,2766.75
1785157085.6376755,15,311.75,2817.0
1785157085.6376755,11,315.0,2996.0
1785157085.6376755,8,316.65625,3062.0
1785157085.6376755,15,319.90625,3230.25
1785157085.6376755,10,331.375,4134.25
1785157085.9749608,15,358.59375,7197.0
1785157085.9749608,15,0.25,7163.75
1785157085.9749608,15,1.890625,7136.25
1785157085.9749608,15,3.515625,7129.5
1785157085.9749608,15,6.828125,6855.5
1785157085.9749608,15,8.453125,6945.5
1785157085.9749608,15,19.875,319.25
1785157085.9749608,15,21.5,318.5
1785157085.9749608,15,22.53125,317.5
1785157085.9749608,15,24.609375,316.5
1785157085.9749608,15,26.40625,317.0
1785157085.9749608,15,45.890625,106.75
1785157085.9749608,15,48.921875,104.75
1785157085.9749608,15,51.3125,102.0
1785157085.9749608,15,165.546875,10095.25
1785157085.9749608,9,226.578125,2822.25
1785157085.9749608,12,233.171875,2577.75
1785157085.9749608,15,236.484375,2479.0
1785157085.9749608,7,238.09375,2450.25
1785157085.9749608,15,239.75,2419.0
1785157085.9749608,11,241.4375,2376.75
1785157085.9749608,14,243.0625,2336.5
1785157085.9749608,15,244.703125,2308.5
1785157085.9749608,15,246.328125,2286.75
1785157085.9749608,15,247.953125,2263.75
1785157085.9749608,15,249.609375,2242.25
1785157085.9749608,13,251.28125,2225.25
1785157085.9749608,15,285.65625,2232.5
1785157085.9749608,15,287.234375,2244.75
1785157085.9749608,15,288.875,2262.75
1785157085.9749608,15,290.5,2289.0
1785157085.9749608,10,292.140625,2319.5
1785157085.9749608,9,293.75,2351.5
1785157085.9749608,15,295.375,2387.75
1785157085.9749608,15,297.03125,2423.75
1785157085.9749608,10,298.78125,2450.0
1785157085.9749608,15,300.4375,2483.75
1785157085.9749608,15,302.078125,2525.25
1785157085.9749608,15,303.703125,2560.0
1785157085.9749608,13,305.328125,2607.5
1785157085.9749608,10,306.984375,2657.25
1785157085.9749608,15,308.625,2713.75
1785157085.9749608,14,310.25,2774.75
1785157085.9749608,15,311.875,2820.0
1785157085.9749608,10,315.15625,3004.25
1785157085.9749608,15,316.765625,3063.75
1785157085.9749608,11,318.40625,3140.25
1785157085.9749608,15,320.03125,3238.25
1785157085.9749608,4,321.65625,3339.75
1785157086.3109899,15,358.828125,7199.25
1785157086.3109899,15,0.46875,7161.75
1785157086.3109899,15,2.109375,7115.0
1785157086.3109899,15,3.75,7109.25
1785157086.3109899,15,7.046875,6885.5
1785157086.3109899,15,8.703125,6937.25
1785157086.3109899,15,19.90625,318.5
1785157086.3109899,15,21.078125,317.5
1785157086.3109899,15,22.9375,315.75
1785157086.3109899,15,24.375,315.5
1785157086.3109899,15,26.171875,316.75
1785157086.3109899,15,27.75,321.0
1785157086.3109899,15,47.6875,106.5
1785157086.3109899,15,48.953125,104.75
1785157086.3109899,15,164.171875,10175.75
1785157086.3109899,15,165.8125,10084.0
1785157086.3109899,7,169.09375,10077.0
1785157086.3109899,9,174.015625,10080.0
1785157086.3109899,7,180.609375,10030.0
1785157086.3109899,7,195.484375,6150.5
1785157086.3109899,7,210.3125,3865.0
1785157086.3109899,9,223.515625,2971.5
1785157086.3109899,11,226.828125,2801.75
1785157086.3109899,6,230.09375,2673.75
1785157086.3109899,15,231.75,2614.25
1785157086.3109899,6,233.390625,2564.75
1785157086.3109899,15,235.046875,2522.5
1785157086.3109899,5,236.71875,2475.75
1785157086.3109899,6,238.34375,2445.0
1785157086.3109899,15,240.0,2418.25
1785157086.3109899,10,241.625,2374.25
1785157086.3109899,9,243.28125,2336.25
1785157086.3109899,15,244.921875,2308.0
1785157086.3109899,15,246.5625,2282.0
1785157086.3109899,15,248.203125,2258.5
1785157086.3109899,15,249.84375,2240.25
1785157086.3109899,11,251.59375,2226.5
1785157086.3109899,9,284.28125,2223.25
1785157086.3109899,15,285.9375,2236.25
1785157086.3109899,15,287.546875,2251.0
1785157086.3109899,15,289.15625,2268.0
1785157086.3109899,13,290.796875,2292.5
1785157086.3109899,12,292.421875,2319.0
1785157086.3109899,10,294.0625,2353.25
1785157086.3109899,14,295.703125,2392.75
1785157086.3109899,15,297.3125,2426.75
1785157086.3109899,11,299.015625,2453.5
1785157086.3109899,15,300.65625,2486.75
1785157086.3109899,12,302.28125,2527.0
1785157086.3109899,15,303.90625,2570.5
1785157086.3109899,10,305.5625,2618.5
1785157086.3109899,13,307.203125,2668.5
1785157086.3109899,15,308.8125,2723.5
1785157086.3109899,12,310.453125,2776.25
1785157086.3109899,15,312.078125,2835.75
1785157086.3109899,11,315.328125,3008.5
1785157086.3109899,15,316.953125,3076.75
1785157086.3109899,12,318.59375,3153.25
1785157086.3109899,4,321.859375,3358.5
1785157086.3109899,15,338.171875,5084.75
1785157086.6496441,15,354.09375,7605.0
1785157086.6496441,15,359.015625,7195.5
1785157086.6496441,15,0.671875,7167.75
1785157086.6496441,15,2.3125,7137.0
1785157086.6496441,15,3.953125,7148.5
1785157086.6496441,15,7.25,6884.75
1785157086.6496441,15,8.890625,6902.5
1785157086.6496441,15,10.484375,6936.75
1785157086.6496441,15,20.671875,407.0
1785157086.6496441,15,22.25,404.75
1785157086.6496441,15,46.125,106.0
1785157086.6496441,15,49.859375,104.25
1785157086.6496441,15,164.46875,10141.25
1785157086.6496441,10,195.71875,6130.0
1785157086.6496441,6,210.578125,3843.25
