timestamp,quality,angle_deg,distance_mm
1785154603.374368,9,354.5,4517.5
1785154603.374368,15,356.140625,4474.25
1785154603.374368,15,357.765625,4497.25
1785154603.374368,15,0.921875,7057.5
1785154603.374368,15,2.546875,7013.0
1785154603.374368,15,4.203125,6946.75
1785154603.374368,15,5.84375,6830.75
1785154603.374368,15,7.46875,6787.5
1785154603.374368,15,9.09375,6785.0
1785154603.374368,15,10.734375,6811.25
1785154603.374368,8,13.921875,8920.25
1785154603.374368,15,25.546875,426.5
1785154603.374368,15,26.875,425.5
1785154603.374368,15,28.703125,426.25
1785154603.374368,15,47.65625,106.5
1785154603.374368,15,165.46875,10171.5
1785154603.374368,7,176.875,10261.75
1785154603.374368,15,209.78125,4036.5
1785154603.374368,11,224.578125,2982.5
1785154603.374368,15,229.484375,2740.75
1785154603.374368,15,232.765625,2620.75
1785154603.374368,15,236.0625,2527.25
1785154603.374368,14,237.703125,2492.75
1785154603.374368,15,239.328125,2455.25
1785154603.374368,15,240.953125,2431.0
1785154603.374368,11,242.59375,2399.0
1785154603.374368,11,244.234375,2355.25
1785154603.374368,15,245.875,2321.75
1785154603.374368,15,247.484375,2299.5
1785154603.374368,15,249.125,2277.0
1785154603.374368,15,250.796875,2260.75
1785154603.374368,12,252.40625,2250.25
1785154603.374368,12,254.046875,2237.5
1785154603.374368,8,278.484375,2220.0
1785154603.374368,13,281.78125,2220.5
1785154603.374368,15,283.390625,2236.5
1785154603.374368,15,284.984375,2248.5
1785154603.374368,15,286.625,2263.75
1785154603.374368,15,288.25,2283.0
1785154603.374368,15,289.875,2310.5
1785154603.374368,14,291.515625,2341.5
1785154603.374368,11,293.109375,2369.0
1785154603.374368,15,294.734375,2404.25
1785154603.374368,14,296.34375,2436.75
1785154603.374368,10,297.984375,2456.75
1785154603.374368,15,299.703125,2487.25
1785154603.374368,15,301.296875,2527.75
1785154603.374368,9,302.96875,2567.5
1785154603.374368,15,304.5625,2615.0
1785154603.374368,14,306.21875,2657.5
1785154603.374368,15,307.828125,2703.75
1785154603.374368,15,309.421875,2757.5
1785154603.374368,15,311.0625,2823.25
1785154603.374368,10,312.703125,2899.75
1785154603.374368,12,315.921875,3054.5
1785154603.374368,15,317.5625,3126.25
1785154603.374368,15,319.1875,3204.5
1785154603.374368,14,324.078125,3531.0
1785154603.374368,14,328.9375,3908.5
1785154604.954774,15,357.296875,4500.0
1785154604.954774,15,2.0625,7035.0
1785154604.954774,15,3.6875,7089.0
1785154604.954774,15,6.984375,6795.0
1785154604.954774,15,8.609375,6788.25
1785154604.954774,15,10.234375,6781.25
1785154604.954774,15,24.96875,430.25
1785154604.954774,15,26.453125,424.75
1785154604.954774,15,28.3125,425.25
1785154604.954774,15,47.328125,106.75
1785154604.954774,15,51.28125,101.75
1785154604.954774,15,165.03125,10241.5
1785154604.954774,8,176.4375,10170.75
1785154604.954774,15,184.640625,10605.25
1785154604.954774,9,196.15625,6161.25
1785154604.954774,14,212.546875,3824.0
1785154604.954774,8,222.421875,3109.75
1785154604.954774,8,225.6875,2941.75
1785154604.954774,15,228.984375,2752.25
1785154604.954774,15,230.59375,2701.5
1785154604.954774,15,232.234375,2664.25
1785154604.954774,15,235.5,2540.75
1785154604.954774,15,237.15625,2507.5
1785154604.954774,15,238.765625,2474.5
1785154604.954774,15,240.421875,2444.5
1785154604.954774,15,242.0625,2407.25
1785154604.954774,15,243.703125,2365.75
1785154604.954774,11,245.296875,2334.0
