timestamp,quality,angle_deg,distance_mm
1785155328.7835445,15,8.265625,6747.5
1785155328.7835445,15,9.890625,6792.75
1785155328.7835445,15,46.734375,106.75
1785155328.7835445,15,48.796875,105.0
1785155328.7835445,15,50.21875,102.25
1785155328.7835445,15,210.828125,3992.5
1785155328.7835445,15,212.453125,3886.0
1785155328.7835445,8,225.625,2969.5
1785155328.7835445,12,230.53125,2717.75
1785155328.7835445,7,232.171875,2669.75
1785155328.7835445,13,233.828125,2611.75
1785155328.7835445,11,238.734375,2470.75
1785155328.7835445,10,240.359375,2446.0
1785155328.7835445,5,242.015625,2409.75
1785155328.7835445,7,243.703125,2360.5
1785155328.7835445,6,245.328125,2326.25
1785155328.7835445,15,246.921875,2300.0
1785155328.7835445,15,248.578125,2275.5
1785155328.7835445,15,250.234375,2256.0
1785155328.7835445,9,251.90625,2239.0
1785155328.7835445,8,253.515625,2224.5
1785155328.7835445,8,269.875,2110.5
1785155328.7835445,15,287.765625,2236.0
1785155328.7835445,15,289.390625,2257.25
1785155328.7835445,15,291.03125,2281.5
1785155328.7835445,10,292.65625,2304.5
1785155328.7835445,11,294.28125,2328.75
1785155328.7835445,7,295.890625,2356.5
1785155328.7835445,15,297.515625,2383.5
1785155328.7835445,15,299.25,2417.25
1785155328.7835445,11,300.859375,2455.0
1785155328.7835445,15,302.484375,2489.25
1785155328.7835445,15,304.125,2526.75
1785155328.7835445,15,305.765625,2567.5
1785155328.7835445,15,307.390625,2617.5
1785155328.7835445,13,309.03125,2665.0
1785155328.7835445,15,310.671875,2703.25
1785155328.7835445,9,313.890625,2858.25
1785155328.7835445,15,315.53125,2930.75
1785155328.7835445,14,317.125,3002.5
1785155328.7835445,12,318.78125,3076.0
1785155328.7835445,11,320.421875,3158.75
1785155328.7835445,15,323.625,3373.0
1785155328.7835445,10,328.5,3723.75
1785155328.7835445,15,335.328125,2249.5
1785155328.7835445,15,341.8125,2386.25
1785155328.7835445,15,343.453125,2411.0
1785155328.7835445,15,345.09375,2444.25
1785155330.2503881,9,354.015625,7487.75
1785155330.2503881,15,357.296875,7067.0
1785155330.2503881,15,358.9375,7074.75
1785155330.2503881,15,8.78125,6798.25
1785155330.2503881,15,10.375,6815.5
1785155330.2503881,15,12.015625,6862.75
1785155330.2503881,8,15.25,8849.0
1785155330.2503881,15,47.609375,106.25
1785155330.2503881,15,50.78125,101.25
1785155330.2503881,9,180.328125,10211.0
1785155330.2503881,11,224.8125,2986.75
1785155330.2503881,9,228.125,2834.0
1785155330.2503881,15,229.75,2768.0
1785155330.2503881,10,231.40625,2699.75
1785155330.2503881,15,233.03125,2632.25
1785155330.2503881,6,234.703125,2575.75
1785155330.2503881,9,236.34375,2526.75
1785155330.2503881,10,237.984375,2488.75
1785155330.2503881,6,239.609375,2456.75
