timestamp,quality,angle_deg,distance_mm
1785125405.1589565,15,7.859375,4112.5
1785125405.1589565,15,9.53125,4117.5
1785125405.1589565,15,12.75,4217.75
1785125405.1589565,15,14.375,4162.75
1785125405.1589565,15,16.046875,4138.25
1785125405.1589565,15,29.453125,390.0
1785125405.1589565,15,51.859375,102.5
1785125405.1589565,15,165.15625,10292.75
1785125405.1589565,7,181.578125,10253.25
1785125405.1589565,7,184.859375,10233.75
1785125405.1589565,15,201.3125,9135.5
1785125405.1589565,15,232.53125,4122.75
1785125405.1589565,15,234.1875,4011.75
1785125405.1589565,15,235.828125,3930.0
1785125405.1589565,15,237.484375,3861.0
1785125405.1589565,15,239.109375,3780.75
1785125405.1589565,15,240.765625,3718.25
1785125405.1589565,15,242.40625,3651.0
1785125405.1589565,15,244.0625,3581.0
1785125405.1589565,15,245.703125,3523.5
1785125405.1589565,15,247.328125,3469.25
1785125405.1589565,15,249.0,3415.75
1785125405.1589565,15,250.703125,3378.5
1785125405.1589565,15,252.34375,3366.25
1785125405.1589565,15,253.953125,3404.0
1785125405.1589565,15,255.609375,3421.25
1785125405.1589565,15,260.5,3702.25
1785125405.1589565,15,262.140625,3673.25
1785125405.1589565,15,263.78125,3647.0
1785125405.1589565,15,265.40625,3628.25
1785125405.1589565,15,267.078125,3615.25
1785125405.1589565,15,268.71875,3608.25
1785125405.1589565,15,270.34375,3603.25
1785125405.1589565,15,272.0,3596.25
1785125405.1589565,15,273.640625,3597.25
1785125405.1589565,15,275.234375,3607.0
1785125405.1589565,15,276.859375,3618.5
1785125405.1589565,15,278.53125,3628.5
1785125405.1589565,15,280.140625,3647.5
1785125405.1589565,15,281.8125,3677.0
1785125405.1589565,15,283.421875,3701.75
1785125405.1589565,15,285.0625,3720.25
1785125405.1589565,15,286.703125,3753.0
1785125405.1589565,15,288.328125,3783.5
1785125405.1589565,15,291.640625,3575.25
1785125405.1589565,15,296.59375,3202.75
1785125405.1589565,15,298.234375,3244.0
1785125405.1589565,15,299.9375,3302.75
1785125405.1589565,15,301.5625,3355.75
1785125405.1589565,15,303.1875,3405.75
1785125405.1589565,15,304.828125,3469.75
1785125405.1589565,15,306.46875,3539.0
1785125405.1589565,15,309.6875,4180.5
1785125405.1589565,15,311.34375,4286.75
1785125405.1589565,15,312.96875,4385.0
1785125405.1589565,15,314.59375,4498.0
1785125405.1589565,15,316.21875,4622.5
1785125405.1589565,15,317.859375,4746.75
1785125405.1589565,15,319.5,4888.75
1785125405.1589565,15,321.140625,5018.75
1785125405.1589565,15,324.453125,5361.5
1785125406.6187937,15,7.359375,4163.25
1785125406.6187937,15,9.0,4166.75
1785125406.6187937,15,10.5625,4164.5
1785125406.6187937,15,13.84375,4222.5
1785125406.6187937,15,28.796875,392.5
1785125406.6187937,15,43.234375,115.5
1785125406.6187937,14,53.609375,100.5
1785125406.6187937,15,164.640625,10278.75
1785125406.6187937,7,172.875,10285.75
1785125406.6187937,7,190.921875,8591.25
1785125406.6187937,15,222.265625,3640.0
1785125406.6187937,15,235.34375,3950.75
1785125406.6187937,15,236.96875,3885.0
1785125406.6187937,15,238.640625,3800.75
1785125406.6187937,15,240.28125,3733.0
1785125406.6187937,15,241.921875,3668.75
1785125406.6187937,15,243.5625,3594.25
1785125406.6187937,15,245.1875,3540.25
1785125406.6187937,15,246.859375,3491.5
1785125406.6187937,15,248.484375,3432.0
1785125406.6187937,15,250.140625,3385.25
1785125406.6187937,15,251.8125,3352.0
