timestamp,quality,angle_deg,distance_mm
1785155091.103461,15,352.46875,7414.0
1785155091.103461,15,355.734375,7077.0
1785155091.103461,15,357.375,7057.0
1785155091.103461,15,359.015625,7037.5
1785155091.103461,15,0.640625,7045.25
1785155091.103461,15,2.28125,7047.0
1785155091.103461,15,5.5625,6725.5
1785155091.103461,15,7.1875,6727.0
1785155091.103461,15,8.828125,6749.75
1785155091.103461,15,10.390625,6762.75
1785155091.103461,15,12.03125,6795.0
1785155091.103461,15,29.390625,208.75
1785155091.103461,15,46.46875,106.5
1785155091.103461,15,49.59375,104.5
1785155091.103461,14,50.75,101.5
1785155091.103461,7,173.390625,10147.75
1785155091.103461,13,214.390625,3759.5
1785155091.103461,15,219.34375,3376.0
1785155091.103461,13,222.625,3156.25
1785155091.103461,14,224.25,3073.75
1785155091.103461,10,225.875,2991.25
1785155091.103461,14,227.546875,2903.5
1785155091.103461,15,230.828125,2746.0
1785155091.103461,15,234.109375,2603.5
1785155091.103461,15,235.75,2569.0
1785155091.103461,15,237.375,2533.5
1785155091.103461,15,239.0,2493.0
1785155091.103461,15,240.65625,2455.75
1785155091.103461,15,242.296875,2424.25
1785155091.103461,9,243.921875,2384.75
1785155091.103461,15,245.546875,2344.75
1785155091.103461,15,247.203125,2317.0
1785155091.103461,15,248.828125,2291.25
1785155091.103461,15,250.484375,2269.5
1785155091.103461,15,252.125,2258.25
1785155091.103461,14,253.796875,2247.75
1785155091.103461,8,255.4375,2232.5
1785155091.103461,15,284.75,2230.75
1785155091.103461,15,286.390625,2243.5
1785155091.103461,15,288.0,2259.5
1785155091.103461,15,289.625,2278.75
1785155091.103461,13,291.25,2302.5
1785155091.103461,12,292.875,2324.5
1785155091.103461,10,294.5,2345.75
1785155091.103461,15,296.125,2374.25
1785155091.103461,15,297.703125,2409.5
1785155091.103461,11,299.40625,2439.25
1785155091.103461,15,301.078125,2460.25
1785155091.103461,15,302.671875,2486.5
1785155091.103461,15,304.3125,2529.75
1785155091.103461,15,305.953125,2582.75
1785155091.103461,15,307.578125,2628.25
1785155091.103461,14,309.203125,2675.0
1785155091.103461,13,310.78125,2732.0
1785155091.103461,15,312.421875,2806.5
1785155091.103461,13,314.0625,2874.5
1785155091.103461,15,315.6875,2943.75
1785155091.103461,15,317.3125,3019.0
1785155091.103461,15,320.53125,3189.25
1785155091.103461,15,323.8125,3387.25
1785155091.103461,11,335.1875,4418.5
1785155092.5710511,15,353.0625,7387.25
1785155092.5710511,15,356.328125,7048.0
1785155092.5710511,15,357.984375,7014.75
1785155092.5710511,15,359.609375,6987.0
1785155092.5710511,15,1.234375,7008.25
1785155092.5710511,12,2.90625,6943.0
1785155092.5710511,15,4.53125,6794.0
