elapsed_s,planner_state,plan_reason,planned_speed,planned_steering,command_speed,command_steering,command_reason,safety_overrode_command,lidar_scan_timestamp,lidar_is_new_scan,lidar_valid,lidar_unsafe,lidar_observed_points,lidar_reason,car_count,first_car_seen,first_car_confirmed,first_car_turn_reached,first_car_edge_y_back_mm,first_car_turn_error_mm,gap_pair_observed,tracking_roi_expanded,relaxed_gap_pairing,gap_found,gap_confirmed,gap_coasted,gap_width_mm,gap_center_x_right_mm,gap_center_y_back_mm,entry_target_y_back_mm,entry_error_mm,entry_reached,slot_depth_x_right,slot_depth_y_back,raw_gap_scan_timestamp,raw_gap_observed_width_mm,raw_gap_first_x_right_mm,raw_gap_first_y_back_mm,raw_gap_second_x_right_mm,raw_gap_second_y_back_mm,geometry_found,geometry_has_side_pair,geometry_has_back_line,geometry_confidence,geometry_coasted,geometry_reason,geometry_lateral_error_px,geometry_lateral_error_norm,geometry_heading_error_deg,geometry_depth_remaining_px,geometry_slot_width_px,geometry_slot_depth_px,completion_candidate,completion_reason,footprint_min_lateral_mm,footprint_max_lateral_mm,footprint_min_depth_mm,footprint_max_depth_mm,pose_required,pose_source,pose_locked,pose_tracked,pose_stale,pose_held,pose_lost,pose_scan_timestamp,pose_translation_mm,pose_rotation_deg,pose_support_points,pose_bilateral_support,pose_depth_span_mm,pose_reason,pose_polygon_mm,map_frozen,map_source_scan_timestamp,map_landmark_count,map_surface_point_count,map_reason,map_icp_fallback_scans,path_status,path_found,path_reason,path_curvature_per_px,path_maximum_curvature_per_px,path_lookahead_x_px,path_lookahead_y_px,path_points_px,lease_valid,lease_expires_at_s,lease_remaining_s,lease_last_fresh_pose_at_s,lease_pose_age_s
1.174653,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204875.242289,0,1,0,6,searching_for_parked_cars,0,0,0,0,,,0,0,0,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
1.276612,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204875.3570917,1,1,1,89,safety_obstacle,0,0,0,0,,,0,0,0,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
1.38945,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204875.4709978,1,1,0,57,one_parked_car,1,1,0,0,1524.417,-2174.417,0,0,0,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
1.502229,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204875.5828974,1,1,0,68,one_parked_car,1,1,1,1,1540.553,-2190.553,0,0,0,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
1.610971,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204875.69697,1,1,0,66,gap_confirming:1/3,2,1,1,1,1556.716,-2206.716,1,1,1,1,0,0,1616.594,616.119,761.294,-300.0,1061.294,0,-0.85,0.527,1785204875.69697,1616.594,213.784,59.702,1018.454,1462.886,0,1,1,0.95,0,lidar_slot_box_confirming,284.183,2.0,-60.167,285.86,220.0,347.368,0,footprint_crosses_slot_entrance,-2070.38,-904.417,-651.704,366.253,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
1.71681,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204875.8111567,1,1,1,68,safety_obstacle,3,1,1,1,1584.787,-2234.787,1,1,1,1,0,0,1624.471,624.612,777.744,-300.0,1077.744,0,-0.851,0.526,1785204875.8111567,1639.102,284.363,65.31,996.409,1551.275,0,1,1,0.95,0,lidar_slot_box_confirming,288.392,2.0,-61.225,280.727,220.0,347.368,0,footprint_crosses_slot_entrance,-2090.955,-925.615,-619.378,387.908,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
1.828445,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204875.9238384,1,1,1,77,safety_obstacle,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
1.935202,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.0385387,1,1,1,73,safety_obstacle,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.036606,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.1523683,1,1,1,73,safety_obstacle,3,0,0,0,,,1,1,1,1,0,0,2049.785,-117.766,1181.061,-300.0,1481.061,0,-0.959,-0.282,1785204876.1523683,2049.785,117.318,181.916,-352.85,2180.205,0,1,1,0.95,0,lidar_slot_box_confirming,340.112,2.0,-103.24,235.362,220.0,347.368,0,footprint_crosses_slot_entrance,-2316.109,-1205.271,-113.258,699.824,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.145414,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.2645051,1,1,1,59,safety_obstacle,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.25365,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.379306,1,1,1,63,safety_obstacle,2,1,0,0,1612.203,-2262.203,1,1,1,1,0,0,1980.786,819.45,829.419,-300.0,1129.419,0,-0.667,0.745,1785204876.379306,1980.786,117.895,128.176,1521.004,1530.661,0,1,1,0.95,0,lidar_slot_box_confirming,319.118,2.0,-44.987,338.197,220.0,347.368,0,footprint_crosses_slot_entrance,-2155.748,-1024.44,-997.384,134.05,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.363524,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.4935887,1,1,1,65,safety_obstacle,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.475338,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.6046603,1,1,0,63,gap_confirming:1/3,2,0,0,0,,,1,1,1,1,0,0,2160.179,-141.284,1151.34,-300.0,1451.34,0,-0.999,0.04,1785204876.6046603,2160.179,-164.81,71.334,-117.758,2231.347,0,1,1,0.95,0,lidar_slot_box_confirming,335.308,2.0,-88.752,327.399,220.0,347.368,0,footprint_crosses_slot_entrance,-2254.263,-1241.433,-490.209,131.427,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.581464,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.7191741,1,1,0,50,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.69157,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.830585,1,1,0,49,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.792404,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204876.9458003,1,1,0,47,gap_confirming:2/3,2,0,0,0,,,1,1,1,1,0,0,2202.995,-137.978,1163.147,-300.0,1463.147,0,-0.999,0.044,1785204876.9458003,2282.51,-201.878,45.95,-61.802,2324.199,0,1,1,0.95,0,lidar_slot_box_confirming,337.652,2.0,-88.185,330.04,220.0,347.368,0,footprint_crosses_slot_entrance,-2267.144,-1248.638,-509.456,121.923,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
2.901584,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.059047,1,1,0,53,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.017755,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.1718853,1,1,0,57,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.126874,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.2864945,1,1,0,56,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.234249,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.3999434,1,1,0,58,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.346058,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.5118186,1,1,0,53,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.449818,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.626258,1,1,0,59,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.559249,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.626258,0,1,0,59,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.668499,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.7410553,1,1,0,56,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.785818,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.8534687,1,1,0,60,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.886092,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204877.9671018,1,1,0,56,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
3.998033,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.0820189,1,1,0,57,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.108701,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.1928542,1,1,0,58,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.213463,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.308399,1,1,0,65,one_parked_car,1,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.320144,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.422506,1,1,0,62,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.421979,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.533479,1,1,0,59,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.533564,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.6488554,1,1,0,61,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.642548,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.7635684,1,1,0,63,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.754392,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.874979,1,1,0,64,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.858703,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204878.9888883,1,1,0,65,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
4.976049,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204879.1026814,1,1,0,66,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
5.073065,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204879.2157664,1,1,0,69,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
5.187017,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204879.3296916,1,1,0,62,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
5.292137,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204879.4435542,1,1,0,67,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
5.401259,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204879.556404,1,1,0,67,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
5.509822,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204879.6708226,1,1,0,64,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
5.616661,idle,waiting_for_start,0,0,0,0,waiting_for_start,0,1785204879.785067,1,1,0,64,searching_for_parked_cars,0,0,0,0,,,0,1,1,0,0,0,,,,-300.0,,0,,,,,,,,,0,0,0,0.0,0,lidar_slot_box_unavailable,0.0,0.0,0.0,,,,0,footprint_unavailable,,,,,0,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,,0,,0,0,,0,,0,,,,,,,0,,,,
